rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
004b6b00	render	FUN_004b6b00	state-runnable-now	3	0	0		ecx-this	0	__fastcall store-EAX helper: *param_1=in_EAX; 2-byte body; leaf; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_004b6b00.md
004d71f0	render	FUN_004d71f0	state-runnable-now	6	0	0		-	0	trivial getter: returns DAT_007d6b10 (texturing-override flag); read-accessor companion of FUN_004d7100; 3 callers; U-5332
00496d00	util	FUN_00496d00	state-runnable-now	10	0	0		stack	0	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
00495110	util	FUN_00495110	state-runnable-now	11	1	0		-	1	snapshots FUN_004950b0()→DAT_007f1030; frame-time snapshot wrapper
00454c00	render	FUN_00454c00	state-runnable-now	12	0	0		eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
00425ed0	boot	FUN_00425ed0	state-runnable-now	13	1	0		-	1	promoted_from=re/analysis/boot_app_init_d5/0x00425ed0.md; batch_u_s5_2026-05-18; FUN_004c5930(DAT_00644150); releases Copters.txd handle
0048bc10	particle	FUN_0048bc10	state-runnable-now	13	1	0		-	1	batch-ac-s5: teardown; calls FUN_004c5a60(DAT_00722134); S-4100
00551180	util	RtFSHandler::Cancel	state-runnable-now	13	0	0		stack,ecx-this	0	piz_fsmanager_handler vtable+0x40; slot[+0x20]=1; no OS call; see re/analysis/piz_fsmanager_handler/REPORT.md
00491490	render	FUN_00491490	state-runnable-now	14	1	0		-	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
004dfaa0	render	FUN_004dfaa0	state-runnable-now	14	0	0		stack,eax-deref	0	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
00431b20	audio	FUN_00431b20	state-runnable-now	15	0	0		-	2	returns fsin(DAT_007f0f00 * _DAT_005cd8f0) as float10; phase-channel A; U-2211; resolves S-0623 | C1->C2 batch_ah sweep-20260602-0245
00431b50	util	FUN_00431b50	state-runnable-now	15	0	0		-	1	FPU: returns fsin(DAT_007f0f04 * _DAT_005cd8f0) as float10; U-1618
00431b60	util	FUN_00431b60	state-runnable-now	15	0	0		-	1	FPU: returns fsin(DAT_007f0f08 * _DAT_005cd8f0) as float10; sibling +4 of FUN_00431b50
005b0f40	audio	FUN_005b0f40	state-runnable-now	15	1	0		stack,eax-deref	2	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
00417740	gameplay	FUN_00417740	state-runnable-now	16	1	0		stack,eax-deref	3	promoted_from=re/analysis/bucket_00412130/0x00417740.md; batch-ab; batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprit
0049a730	render	FUN_0049a730	state-runnable-now	16	1	0		-	0	calls FUN_00426c00(); DAT_00773970 = (result == 0); mode-2 boolean flag; caller FUN_0049a0e0; | batch-render-3-s2 plate at re/analysis/render_3_c1_to_c2_s2/FUN_
004b4120	render	FUN_004b4120	state-runnable-now	16	1	0		stack,eax-deref	1	batch_v s2 drift-cross-ref into cluster_004b4_first_pass (canonical plate from batch-t-s1); first hooks.csv row landed here | C1->C2 batch_aj sweep-20260602-194
004d8470	render	rwID_ERRORMODULE_dtor	state-runnable-now	16	0	0		stack	0	plugin id=0x40f; dtor: DEC counter; returns obj_base; LAB_ not FUN_; U-5381
00407580	gameplay	FUN_00407580	state-runnable-now	17	0	0		stack,eax-deref	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00462520	audio	FUN_00462520	state-runnable-now	17	1	0		eax-deref	0	country→audio-index mapper: switch FUN_00430790() 1-12 → values 0x00-0x27; default 0x1E; D-10349-fill | C1->C2 batch_ah sweep-20260602-0245
004c0b10	render	FUN_004c0b10	state-runnable-now	17	0	0		stack,ecx-this,eax-deref	0	frame dirty-state predicate: returns *(*(param_1+0xa0)+3)&3; low-2-bit mask; leaf; callers RpAtomicGetWorldBoundingSphere FUN_00533ec0; batch-render-3-s6 plate 
004cff00	render	FUN_004cff00	state-runnable-now	18	0	0		stack,ecx-this	0	per-material reflectivity flag reader; returns *(byte*)(DAT_00911ae4+9+param_1)&0xf; non-zero = use reflection vector path in LIGHT_FN; U-1632; plate at re/anal
004219a0	ai	FUN_004219a0	state-runnable-now	19	1	0		eax-deref	2	powerup slot null-guard: EAX-based; if *(EAX+0x10)!=0 && *(sub+0x24)!=0 call FUN_00421980; 19b; depth-1-fill
00478cd0	render	FUN_00478cd0	state-runnable-now	19	1	0		stack,ecx-this	1	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_00478cd0.md; U-4529; thunk to FUN_00484580 debug-overlay dispatcher
004840b0	vehicle	FUN_004840b0	state-runnable-now	20	0	0		stack,eax-deref	0	cluster_0048_first_pass batch_u-s4; joint-pool sister-getter for 4-slot pool at DAT_006ce82c (companion to already-mapped 0x004840d0) | C1->C2 batch_ak sweep-20
00490ff0	render	FUN_00490ff0	state-runnable-now	20	0	0		stack	0	LineRain SetCameraScale: _DAT_006146b0/b4 velocity scale | batch-render-2-s5 plate at re/analysis/render_2_c1_to_c2_s5/FUN_00490ff0.md
00491010	render	FUN_00491010	state-runnable-now	20	0	0		stack	0	LineRain SetLineWidthRange: _DAT_006146b8/bc width range 3.0f..6.0f | batch-render-2-s5 plate at re/analysis/render_2_c1_to_c2_s5/FUN_00491010.md
